,Occupation code,Occupation title (click on the occupation title to view an occupational profile),Level,Employment,Employment RSE,Percent of total employment,Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
238,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",minor,"4,180",5.3%,0.28%,$20.45,$21.57,"$44,860",1.2%
239,43-5021,Couriers and Messengers,detail,130,24.6%,0.01%,$15.20,$15.97,"$33,220",4.1%
240,43-5030,Dispatchers,broad,290,34.7%,0.02%,$19.83,$20.25,"$42,120",3.1%
241,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",detail,290,34.8%,0.02%,$19.85,$20.27,"$42,160",3.0%
242,43-5061,"Production, Planning, and Expediting Clerks",detail,"3,460",5.6%,0.23%,$21.12,$22.25,"$46,280",1.3%
243,43-5071,"Shipping, Receiving, and Inventory Clerks",detail,300,15.9%,0.02%,$17.46,$17.37,"$36,120",2.9%
244,43-6010,Secretaries and Administrative Assistants,broad,"22,960",3.6%,1.54%,$17.88,$19.02,"$39,570",1.4%
245,43-6011,Executive Secretaries and Executive Administrative Assistants,detail,"1,840",11.7%,0.12%,$25.61,$28.89,"$60,100",6.9%
246,43-6013,Medical Secretaries and Administrative Assistants,detail,"11,000",5.3%,0.74%,$17.62,$18.33,"$38,130",1.0%
247,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detail,"10,110",5.3%,0.68%,$17.41,$17.98,"$37,390",1.1%
248,43-9000,Other Office and Administrative Support Workers,minor,"24,030",3.4%,1.61%,$16.71,$17.52,"$36,430",1.1%
249,43-9020,Data Entry and Information Processing Workers,broad,"1,010",30.5%,0.07%,$18.25,$18.61,"$38,710",7.1%
250,43-9021,Data Entry Keyers,detail,980,31.3%,0.07%,$18.21,$18.58,"$38,640",7.4%
251,43-9041,Insurance Claims and Policy Processing Clerks,detail,90,7.5%,0.01%,$18.83,$19.30,"$40,140",3.9%
252,43-9061,"Office Clerks, General",detail,"21,840",3.4%,1.46%,$16.49,$17.32,"$36,020",1.2%
253,43-9199,"Office and Administrative Support Workers, All Other",detail,"1,060",9.5%,0.07%,$19.43,$20.42,"$42,480",3.1%
254,49-0000,"Installation, Maintenance, and Repair Occupations
",major,"2,190",14.2%,0.15%,$18.95,$20.80,"$43,260",2.3%
255,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detail,140,16.0%,0.01%,$29.01,$31.78,"$66,100",5.7%
256,49-9000,"Other Installation, Maintenance, and Repair Occupations",minor,"2,050",14.8%,0.14%,$18.67,$20.04,"$41,690",2.3%
257,49-9060,Precision Instrument and Equipment Repairers,broad,600,30.1%,0.04%,$19.38,$21.40,"$44,500",4.6%
258,49-9062,Medical Equipment Repairers,detail,600,30.1%,0.04%,$19.38,$21.40,"$44,500",4.6%
259,49-9071,"Maintenance and Repair Workers, General",detail,"1,380",15.3%,0.09%,$18.37,$19.50,"$40,560",2.8%
260,49-9090,"Miscellaneous Installation, Maintenance, and Repair Workers",broad,(8),(8),(8),$17.90,$17.91,"$37,250",4.8%
261,49-9099,"Installation, Maintenance, and Repair Workers, All Other",detail,(8),(8),(8),$17.90,$17.91,"$37,250",4.8%
262,51-0000,"Production Occupations
",major,240,17.1%,0.02%,$13.04,$16.12,"$33,530",12.3%
263,51-9000,Other Production Occupations,minor,50,14.4%,(7),$21.72,$24.49,"$50,940",9.4%
264,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",detail,40,17.1%,(7),$20.77,$24.44,"$50,840",12.2%
265,53-0000,"Transportation and Material Moving Occupations
",major,"3,960",11.3%,0.26%,$15.39,$16.31,"$33,930",3.0%
266,53-1040,First-Line Supervisors of Transportation and Material Moving Workers,broad,190,20.5%,0.01%,$24.39,$25.09,"$52,190",5.7%
267,53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",detail,190,20.5%,0.01%,$24.39,$25.09,"$52,190",5.7%
268,53-3000,Motor Vehicle Operators,minor,"2,860",12.8%,0.19%,$14.42,$15.57,"$32,380",3.8%
269,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detail,30,45.5%,(7),$14.48,$14.92,"$31,030",4.3%
270,53-3030,Driver/Sales Workers and Truck Drivers,broad,"1,290",19.4%,0.09%,$16.67,$17.50,"$36,390",4.9%
271,53-3032,Heavy and Tractor-Trailer Truck Drivers,detail,30,41.0%,(7),$17.31,$17.58,"$36,570",6.7%
272,53-3033,Light Truck Drivers,detail,"1,240",20.2%,0.08%,$16.68,$17.55,"$36,490",5.1%
273,53-3050,Passenger Vehicle Drivers,broad,"1,520",17.8%,0.10%,$12.60,$13.94,"$28,990",4.9%
274,53-3058,"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity",detail,"1,520",17.8%,0.10%,$12.58,$13.93,"$28,970",4.9%
275,53-7000,Material Moving Workers,minor,910,13.3%,0.06%,$16.83,$16.78,"$34,910",2.3%
276,53-7060,Laborers and Material Movers,broad,910,13.3%,0.06%,$16.83,$16.78,"$34,910",2.3%
277,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",detail,220,28.7%,0.01%,$16.30,$16.32,"$33,950",5.0%
278,53-7065,Stockers and Order Fillers,detail,680,15.3%,0.05%,$16.97,$16.91,"$35,170",2.5%
